GemName,carat,cut,clarity,depth,table,x,y,z,Lab_L,Lab_a,Lab_b,XYZ_X,XYZ_Y,XYZ_Z,Wavelength,Reflectance,Color
Sapphire,,Good,VVS1,64.95,62.11,9,7.16,6.38,68.75,3.02,,0.516,0.32,0.411,400,0.58,Blue
Amethyst,2.38,Premium,VVS2,55,50.75,5.18,3.67,,60.72,2.22,1.05,0.186,0.129,0.561,700,0.31,LightYellow
Topaz,4.39,Very Good,VS1,64.83,53.09,9.1,6.39,4.43,71.09,1.53,3.24,0.382,0.105,0.385,650,0.53,Blue
Sapphire,2.94,Fair,VVS1,56.01,50.44,9.27,7.1,5.6,74.28,3.33,,0.437,0.506,0.546,550,0.32,White
Ruby,4.42,,SI2,55.7,60.69,7.88,5.96,2.13,60.06,1.33,4.44,0.552,,0.204,650,0.34,Violet
Topaz,1.14,Good,IF,62.68,59.83,9.26,3.12,2.47,60.52,4.71,0.42,0.402,0.229,0.309,700,0.5,LightYellow
Emerald,1,Ideal,VVS2,58.5,56.62,8.23,7.91,2.88,78.14,1.26,3.22,0.121,0.142,0.386,450,0.55,Green
Ruby,2.96,Very Good,,64.18,64.01,,6.19,4.05,73.61,1.54,3.03,0.384,0.445,0.152,450,0.68,Green
Sapphire,2.42,Ideal,SI2,60.45,62.52,9.69,4.09,2.07,75.81,4.04,-2.93,0.202,0.502,0.386,550,0.6,Green
Topaz,3.37,Ideal,VS1,58.86,62.01,4.33,9.81,3.94,60.53,4.55,-1.56,0.332,0.337,0.347,550,0.57,LightYellow
Ruby,4.01,Very Good,IF,55.73,,6.46,9.6,2.73,68.01,1.73,-3,0.383,0.507,0.378,450,0.66,Blue
Emerald,3.81,Premium,VVS2,59.65,56.54,5.68,4.11,5.82,74.94,1.21,-4.58,0.429,0.549,0.484,450,0.65,Violet
Ruby,4.72,Good,VS2,57.78,,5.44,7.95,4.19,61.83,1.54,3.5,0.137,,0.224,650,0.55,Blue
Ruby,2.11,Ideal,SI1,55.77,60.88,8.49,,2.32,63.77,3.86,4.02,0.524,0.567,0.333,500,0.35,Violet
Amethyst,1.19,Good,VS1,61.7,55.44,5.04,5.03,4.08,70.18,4.56,-0.79,0.572,0.178,0.344,400,0.56,Violet
Emerald,2.84,Very Good,SI2,64.77,60.86,6.76,7.79,4.16,77.87,3.86,-1.35,0.449,0.426,0.468,500,0.52,LightYellow
Ruby,0.73,Premium,VS2,58.79,55.34,5.36,6.13,3.35,66.58,2.46,-0.29,0.402,0.317,0.405,500,0.43,FaintYellow
Sapphire,1.59,Fair,VS2,57.97,53.71,9.25,9.29,3.65,76.56,3.42,1.28,0.409,0.148,0.54,600,0.31,FaintYellow
Emerald,1.2,Premium,VVS2,55.9,55.64,4.09,7.93,6.37,60.18,3.04,4.87,0.449,0.565,0.131,650,0.51,Blue
Emerald,2.1,Very Good,VVS2,57.23,62.58,4.23,6.55,3.11,63.64,3.08,3.72,0.54,0.494,0.229,,0.47,FaintYellow
Ruby,0.73,Premium,VVS2,57.85,60.32,3.78,6.16,5.04,65.81,4.3,-3.37,0.175,0.373,0.241,700,0.3,Violet
Ruby,0.35,Fair,SI2,58.44,53.29,8.3,3.22,4.97,74.18,4.82,3.77,0.117,0.472,0.518,550,0.5,FaintYellow
Emerald,3.35,Ideal,SI2,61.34,68.16,4.13,,3.9,,4.55,-0.15,0.136,0.34,0.145,500,0.43,White
Ruby,3.13,Premium,VS2,56.15,59.97,6.73,3.32,6.19,65.29,4.03,3.05,0.239,0.393,0.518,450,0.36,Red
Ruby,3.6,Very Good,SI1,55.58,65.87,8.37,3.44,5.46,71.63,2.83,3.45,0.301,0.201,0.461,600,0.31,Red
Topaz,3.37,Premium,IF,64.31,56.61,3.81,3.47,2.09,77.8,1.95,-1.22,0.333,0.344,0.198,500,0.45,White
Topaz,0.75,Fair,VVS2,62.99,69.15,9.51,3.1,4.19,69.39,2.5,-4.72,0.212,0.202,0.435,400,0.35,LightYellow
Amethyst,1.6,Very Good,VS1,57.78,65.04,4.99,8.54,2.51,73.92,4.46,-1.35,0.138,0.581,0.197,600,0.62,FaintYellow
Diamond,0.82,Premium,VVS2,61.39,59.09,8.55,6.35,3.29,66.91,1.03,-4.7,0.224,0.32,0.24,550,0.62,LightYellow
Ruby,4.25,Very Good,SI1,60.92,68.05,8.55,8.24,3.07,74.25,2.29,0.14,0.486,0.312,0.436,700,0.51,FaintYellow
Amethyst,3.79,Fair,VVS2,62.43,64.35,5.44,4.17,5.4,77.34,2.95,4.49,0.405,0.584,0.244,400,0.42,Red
Amethyst,1.17,Ideal,SI1,63.59,58.61,6.85,8.89,3.12,71.33,1.16,3.85,0.47,0.574,0.126,550,0.41,White
Amethyst,1.84,Fair,VVS2,58.58,69.48,7.42,3.66,6.47,67.72,1.42,-1.17,0.363,0.468,0.277,700,0.33,FaintYellow
Topaz,4.84,Ideal,VS2,61.61,55.97,5.91,5.25,2.58,75.09,3.83,2.57,0.227,0.472,0.418,400,0.44,White
Ruby,3.05,Good,SI1,63.02,55.13,5.51,5.59,3.85,79.12,4.77,2.31,0.583,0.547,0.195,550,0.67,Green
Sapphire,4.05,Fair,IF,61.99,67.89,8.96,4.65,4.2,61.36,3.7,0.78,0.524,0.583,0.499,400,0.7,Green
Emerald,1.47,Ideal,VVS2,64.22,64.15,4.41,3.96,3.95,70.33,1.94,2.05,0.555,0.541,0.163,550,0.32,LightYellow
Diamond,1.21,Good,VS2,59.95,56.91,8.56,7.4,2.42,63.64,2.19,4.03,0.207,0.112,0.446,450,0.37,Blue
Emerald,3.96,Good,VS1,63.03,54.64,4.43,3.06,3.02,65.48,3.43,-2.19,0.449,0.438,0.262,650,0.48,FaintYellow
Emerald,3.49,Good,IF,64.1,53.56,7.9,8.54,4.34,72.72,4.94,-3.24,0.374,0.578,0.379,650,0.63,Red
Sapphire,3.47,Very Good,VS2,60.57,56.27,5.01,3.3,5.6,79.2,3.61,-1.78,0.207,0.213,0.569,400,0.5,Violet
Diamond,2.85,Fair,SI1,55.17,52.51,9.49,9.75,5.1,77.06,1.33,1.11,0.509,0.374,0.59,400,0.31,Green
Diamond,2.91,Fair,VVS1,63.18,52.91,7.24,9.08,4.45,65.15,1.69,-0.17,0.102,0.598,0.365,550,0.51,White
Emerald,3.73,Fair,VS1,63.46,65.53,6.73,5.9,6.4,60.48,3.85,1.72,0.186,0.379,0.171,400,0.53,White
Emerald,1.5,Fair,SI1,59,51.28,5.07,4,5.42,71.99,3.97,-0.54,0.183,0.263,0.527,450,0.51,LightYellow
Emerald,1.89,Very Good,VVS1,57.29,58.79,6.56,9.09,5.9,70.68,1.31,1.51,0.39,0.477,0.469,400,0.66,Blue
Amethyst,4.38,Fair,VS2,64.78,58.1,3.46,7.51,2.06,69.21,3.31,-4.11,0.356,0.594,0.359,550,0.46,Green
Diamond,1.68,Ideal,VS2,60.52,69.2,4,6.53,2.97,69.5,4.28,-0.66,0.565,0.139,0.254,600,0.34,Green
Emerald,,Good,SI2,60.16,59.31,5.07,5.24,5.24,71.83,1.76,1.46,0.514,0.163,0.333,650,0.5,LightYellow
Emerald,3.57,Very Good,SI1,64.46,53.22,9.64,6.93,3.25,67.94,3.82,-2.09,0.265,0.392,0.271,400,0.39,FaintYellow
Sapphire,5,Very Good,VS1,59.08,51.77,6.28,5.91,3.59,63.42,2.65,-1.77,0.364,0.481,0.473,550,0.31,Blue
Topaz,2.29,Fair,SI2,63.48,64.65,5.8,6.26,4.66,65.18,3.62,-4.8,0.255,0.482,0.471,650,0.57,FaintYellow
Sapphire,2.25,Good,VS2,62.01,52.95,8.41,8.92,4.44,61.28,3.24,2.87,0.2,0.361,0.104,400,0.49,Red
Topaz,4.24,Ideal,VVS1,64.68,68.76,7.86,9.67,2.99,61.12,4.75,-0.14,0.405,0.584,0.161,600,0.4,Blue
Ruby,4.07,Good,SI2,59.29,61.18,7.65,9.74,5.95,77.35,1.63,-3.33,0.513,0.426,0.359,700,0.32,LightYellow
Ruby,3.71,Premium,VS2,64.08,58.03,7.24,9.36,4.83,62.51,1.85,1.3,0.115,0.338,0.513,400,0.48,FaintYellow
Ruby,2.42,Good,VS1,60.69,63.69,3.91,8.62,5.08,61.38,1.71,-3.81,0.125,0.383,0.578,400,0.36,Violet
Ruby,1.75,Ideal,VS2,59.76,53.98,5.73,6.18,5.73,76.53,3.8,-0.35,0.119,0.504,0.414,450,0.51,FaintYellow
Ruby,3.12,Ideal,IF,58.06,57.65,9.31,3.62,2.46,79.07,1.74,-3.65,0.451,0.551,0.264,400,0.69,White
Amethyst,4.41,Ideal,VVS1,60.53,50.67,9.72,7.41,4.13,64.11,2.66,1.77,0.274,0.515,0.215,400,0.55,Green
Amethyst,4.44,Very Good,VVS1,60.73,67.55,6.03,5.81,2.39,75.15,4.54,-3.11,0.454,0.396,0.523,600,0.43,
Amethyst,0.72,Very Good,VVS2,63.98,58.51,3.01,7.81,2.33,63.25,2.11,4.54,0.211,0.135,0.53,500,0.39,Green
Topaz,2.26,Premium,VS2,62.04,65.18,6.5,4.55,5.25,73.61,1.6,1.02,0.105,0.465,0.349,400,0.44,LightYellow
Topaz,2.43,Good,SI1,63.26,68.34,4.59,8.35,5.55,73.59,3.13,-4.78,0.432,0.48,0.356,500,0.55,FaintYellow
Topaz,4.89,Fair,VVS1,62.69,63.06,4.32,4.19,2.24,68.59,3.62,-0.8,0.197,0.144,0.209,550,0.33,LightYellow
Topaz,3.45,,VS2,57.77,57.51,4.99,8.66,,77.64,2.98,-3.4,0.378,0.257,0.33,650,0.36,Red
Topaz,2.15,Fair,IF,57.06,62.39,3.86,9.38,3.27,,3.19,1.05,0.317,0.142,0.412,450,0.49,LightYellow
Diamond,0.33,Fair,SI2,57.58,57.21,3.32,9.3,4.95,69.53,1.77,2.65,0.545,0.303,0.289,450,0.68,LightYellow
Diamond,2.91,Premium,VS1,56.47,61.35,6.11,5.43,5.09,72.03,2.18,-1.92,0.119,0.37,0.544,550,0.68,Violet
Diamond,0.66,Good,VS1,58.86,58.64,4.84,5.73,5.13,75.18,3.64,1.76,0.323,0.185,0.539,500,0.3,Blue
Emerald,4.21,Fair,VVS2,61.54,53,4.79,8.87,4.61,62.85,4.23,3.71,0.519,0.401,0.562,550,0.52,Blue
Amethyst,3.81,Very Good,VVS2,60.37,65.6,4.55,7.85,2.51,70.7,2.44,4.05,0.44,0.483,0.113,450,0.41,Blue
Topaz,2.41,Very Good,SI1,61.79,59.93,6.48,6.69,2.5,69.1,3.84,-3.77,0.539,0.54,0.15,650,0.32,Violet
Emerald,2.26,Premium,VVS1,58.56,53.8,8.13,9.72,2.63,68.33,1.79,-1.45,0.596,0.533,0.155,700,0.58,FaintYellow
Diamond,4.51,Fair,SI1,57.05,67.84,7.6,6.61,6.14,67.19,2.19,-2.27,0.378,0.431,0.395,450,0.58,FaintYellow
Emerald,1.58,Premium,VVS1,57.03,67.06,9.83,4.71,2.95,79.94,1.03,0.71,0.273,0.444,0.181,550,0.5,Red
Topaz,1.4,Very Good,VVS1,61.01,61.18,9.4,7.76,2.69,63.4,1.88,3.16,0.412,0.157,0.352,650,0.53,White
Ruby,4.71,Premium,IF,56.64,69.41,5.92,6.59,6.45,,4.05,1.44,0.414,0.21,0.508,550,0.39,Violet
Emerald,4.08,Fair,VVS2,58.97,68.54,8.69,4.43,2.02,67.54,1.34,4.83,0.488,0.582,0.448,600,0.52,LightYellow
Diamond,4.14,Fair,VVS2,57.13,67.94,4.29,4.07,5.5,72.98,1.31,-4.6,0.35,0.6,0.232,550,0.31,FaintYellow
Sapphire,1.14,Very Good,VS1,61.63,52.67,4.49,5.49,5.8,79.77,3.56,-3.01,0.203,0.111,0.377,650,0.57,Red
Amethyst,0.89,Ideal,VVS2,61.15,55.89,7.91,9.79,4.98,69.55,3,3.51,0.552,0.481,0.409,450,0.31,Green
,0.32,Ideal,VVS2,58.81,58.2,4.52,4.02,6.39,76.49,4.1,-1.07,0.548,0.416,0.308,650,0.45,FaintYellow
Topaz,1.34,Good,IF,56.29,66.64,6.16,6.3,3.5,61.52,2.56,2.79,0.292,0.116,0.173,600,0.38,LightYellow
Emerald,3.92,Very Good,SI1,57.12,67.42,5.25,5.29,2.4,71.09,3.25,4.72,0.429,0.389,0.535,650,0.54,Red
Diamond,1.35,Good,VVS1,59.72,65.03,4.63,9.6,3.08,67.64,4.76,0.9,0.485,0.396,0.543,650,0.38,Green
Amethyst,3.7,Very Good,SI1,64.72,59.45,4.08,5.64,2.45,73.98,4.48,1.66,0.151,0.269,0.508,400,0.42,White
Sapphire,1.41,Fair,SI2,,53.24,7.28,4.58,4.19,60.74,3.41,-1.16,0.522,,0.532,500,0.63,LightYellow
Topaz,2.1,Very Good,SI2,56.91,50.7,3.39,6.35,6.34,68.95,2.92,3.99,0.466,0.597,0.436,600,0.62,Violet
Sapphire,4.92,Premium,IF,57.21,63.99,7.92,4.08,4.33,69.89,1.19,1.7,0.361,0.563,0.306,450,0.42,FaintYellow
Sapphire,1.38,Good,VS2,62.08,69.88,9.26,5.66,3.46,76.89,3.11,1.04,0.56,0.103,0.158,550,0.36,Violet
Sapphire,2.01,Very Good,VS1,64.15,56.91,5.4,8.13,6.08,67.69,2.87,-4.72,0.493,0.22,0.506,650,0.46,Red
Diamond,1.65,Good,VS1,55.75,61.37,5.89,7.2,4.76,66.41,4.72,-0.05,0.346,0.366,0.235,550,0.34,White
Amethyst,0.73,Very Good,VS1,62.49,66.21,7.13,3.08,6.18,67.78,2.62,4.95,0.539,0.492,0.186,700,0.61,FaintYellow
Diamond,2.55,Ideal,SI1,59.95,53.73,7.66,6.49,6.34,68.76,3.49,-0.51,0.538,0.157,0.298,600,0.34,Violet
Sapphire,2.02,Good,VVS1,63.25,66.59,6.81,8.69,6.21,65.09,4.66,4.57,0.41,0.381,0.431,,0.42,White
Ruby,3.54,Fair,VVS1,59.22,62.51,7.83,6.94,5.11,60.91,1.78,4.81,0.543,0.213,0.384,550,0.65,FaintYellow
,4.12,Fair,VVS1,55.05,61.4,8.66,6.29,4.26,79.81,2.5,1.46,0.465,0.303,0.37,700,0.38,Blue
Topaz,2.81,Very Good,VS1,61.83,65.25,9.93,5.91,3.31,75.31,2.46,-2,0.148,0.569,0.161,550,0.45,LightYellow
Emerald,0.35,Fair,VS1,63.08,54.82,5.75,6.76,6.24,79.71,2.13,-3.05,0.538,0.279,0.176,400,0.55,Blue
,3.17,Fair,SI1,64.02,62.3,7.09,3.52,4.45,73.25,4.45,0.46,0.475,0.409,0.11,600,0.35,Violet
Diamond,0.47,Good,SI1,60.69,54.81,5.63,8.6,6.48,77.66,3.72,-3.95,0.266,,0.224,450,0.63,
Emerald,3.16,Very Good,SI2,56.22,53.59,4.67,9,6.13,69.01,4.9,0.06,0.171,0.138,0.374,600,0.66,Red
Topaz,3.49,Good,VS1,58.7,62.47,9.98,7.15,3.7,66.98,,1.58,0.137,0.557,0.162,450,0.61,Blue
Sapphire,1.15,Very Good,VS2,62.84,55.39,3.1,9.85,5.94,79.88,4.53,-0.61,0.582,0.596,0.179,650,0.55,Red
Amethyst,4.13,Fair,VS2,59.94,64.29,3.45,6.89,4.41,63.39,1.16,-3.5,0.396,0.113,0.477,650,0.58,Blue
Sapphire,,Very Good,SI2,61.99,60.29,7.08,3.19,5.34,64.33,,3.06,0.132,0.34,0.242,650,0.67,White
Ruby,4.1,Very Good,SI1,55.05,63.9,7.97,6.25,4.16,73.36,3.65,0.41,0.112,0.127,0.421,450,0.62,Violet
Emerald,1.66,Premium,VS1,55.73,67.83,8.1,5.8,6.45,65.11,3.44,,0.154,0.375,0.58,700,0.67,FaintYellow
Sapphire,3.02,Very Good,VVS1,61.81,52.76,7.92,4.36,3.79,68.62,1.1,-4.84,0.442,0.487,0.517,450,0.67,White
Diamond,4.59,Premium,VVS1,57.9,51.33,8.52,6.74,2.43,78.64,1.28,0.44,0.205,0.329,0.56,450,0.53,Green
Diamond,1.74,Good,VS2,58.88,58,8.21,6.18,5.86,65.32,2.91,2.67,0.358,0.205,0.545,500,0.38,Red
Sapphire,4.14,Premium,VS2,61.42,64.33,6.82,4.2,5.4,70.21,4.2,-1.36,0.516,0.386,0.141,400,0.41,White
Emerald,0.25,Good,VS1,56.12,67.72,6.29,6.54,2.57,74.73,3.89,1.61,0.484,0.217,0.424,400,0.68,Red
,0.22,Very Good,VS1,63.33,50.7,8.04,8.84,4.27,61.44,3.1,2.96,0.3,0.524,0.502,600,0.58,Green
Topaz,3.85,Good,VVS1,56.44,65.86,,6.56,5.05,61.44,2.79,-0.3,0.521,0.49,0.284,700,0.42,Blue
Sapphire,3.85,Fair,SI1,62.33,51.51,5.33,4.52,3.84,74.92,4.14,-2.3,0.255,0.39,0.142,650,0.65,LightYellow
Topaz,3.99,Very Good,,57.93,61.61,3.02,7.8,6.09,78.4,,-0.86,0.224,0.31,0.125,400,0.68,LightYellow
Sapphire,4.66,Premium,SI1,57.6,56.88,5.2,9.09,6.24,71.84,,2.61,0.477,0.523,0.269,500,0.6,Violet
Sapphire,0.77,Ideal,SI2,52.36,50.35,6.74,5.42,5.91,60.76,4.66,-2.82,0.348,0.439,0.5,400,0.36,Blue
Sapphire,1.31,Very Good,VVS1,60.52,51.94,6.68,3.5,4.39,69.04,1.78,-2.45,0.574,0.439,0.453,500,0.33,Blue
Topaz,4.54,Fair,SI1,57.05,57.07,5.66,9.4,4.04,74.41,2.65,-1.4,0.235,0.444,0.473,400,0.39,FaintYellow
Ruby,1.05,Good,VVS1,55.03,69.08,,7.78,4.63,72.64,2.63,1.28,0.365,0.16,0.145,450,0.67,FaintYellow
Topaz,3.47,Premium,VS1,64.73,53.1,6.33,9.94,4.33,63.96,2.74,-2.59,0.201,0.392,0.192,400,0.44,Blue
Amethyst,2.75,Premium,VVS2,59.31,55.44,3.97,7.86,2.44,61.06,1.25,-0.05,0.14,0.278,0.454,500,0.63,Green
Topaz,0.6,Fair,VVS2,58.97,69.88,4.35,3.87,5.55,77.79,3.87,1.35,0.194,0.3,0.59,500,0.66,Blue
Amethyst,1.57,Fair,SI2,55.5,59.61,3.66,6.03,6.23,64.52,3.5,0.22,0.129,0.375,0.185,450,0.31,Red
Emerald,2.7,Very Good,VS1,63.94,55.24,4.88,3.3,4.21,79.92,4.47,-4.93,0.2,0.598,0.294,450,0.66,FaintYellow
Topaz,4.29,Ideal,IF,56.41,62.32,5.13,5.39,2.28,62.31,1.25,0,0.111,0.553,0.312,650,0.54,FaintYellow
Amethyst,3.6,Ideal,VS1,58.35,58.72,5.34,8.5,3.45,62.29,3.12,-1.44,0.168,0.598,0.537,650,0.54,Red
Diamond,3.19,Good,VS2,59.21,67.17,8.85,6.89,2.55,73.36,1.8,-4.54,0.316,0.504,0.174,600,0.43,Red
